size,MAE,ppvalue,barrier,method,landscape
30,1.78463254322052,0.263163719033435,strong,random,densely
30,2.78405728106265,0.650895740358789,strong,random,densely
30,3.66972702507364,0.769653089788867,strong,random,densely
30,2.62780041490374,0.648386068931344,strong,random,densely
30,2.48002787013269,0.535265309446278,strong,random,densely
30,2.31557829388875,0.567579743385011,strong,random,densely
30,2.57574003463307,0.321563078462066,strong,random,densely
30,4.08290566779223,0.260927979788163,strong,random,densely
30,2.56204573840886,0.660837717126265,strong,random,densely
25,3.23604244466712,0.382737638577431,strong,random,densely
25,4.32580098767955,0.17260122148949,strong,random,densely
25,3.11613637594097,0.567858961203062,strong,random,densely
25,3.27505378536953,0.326122308412855,strong,random,densely
25,3.33883976038586,0.196590117815773,strong,random,densely
25,1.7975116687802,0.517152636581645,strong,random,densely
25,1.9624567267314,0.607997227422327,strong,random,densely
25,5.32199692917983,0.347934204755245,strong,random,densely
25,2.77803817800646,0.198252866512992,strong,random,densely
25,2.13911206659388,0.271059503579258,strong,random,densely
20,1.22274457558871,0.427101593871767,strong,random,densely
20,4.25310082867962,0.110282735146843,strong,random,densely
20,3.3996889846444,0.446159166091753,strong,random,densely
20,3.18597560457952,0.547111216067228,strong,random,densely
20,2.22311897707949,0.312961175781895,strong,random,densely
20,1.49974864206773,0.460812097845475,strong,random,densely
20,3.57716055766964,0.11794275743526,strong,random,densely
20,2.23739079856349,0.587099795241563,strong,random,densely
20,2.44434375807881,0.540823819409753,strong,random,densely
20,4.61285720748584,0.344958806843327,strong,random,densely
15,3.9241095629687,0.278377767399597,strong,random,densely
15,1.16495462926219,0.592401671790304,strong,random,densely
15,3.74005333516865,0.384092165103886,strong,random,densely
15,1.66910054054534,0.544089038853622,strong,random,densely
15,2.12090857161207,0.568811465647847,strong,random,densely
15,2.80060196322323,0.585536608594659,strong,random,densely
15,5.05328782990173,0.324369125063377,strong,random,densely
15,4.12535345798042,0.281019411651676,strong,random,densely
15,2.07869040226136,0.584674405976393,strong,random,densely
15,2.52214608431819,0.607897092732932,strong,random,densely
10,0.630090628304989,0.471115114204047,strong,random,densely
10,5.28399666969025,0.603050694217705,strong,random,densely
10,0.648708292893285,0.556682856565371,strong,random,densely
10,1.47642128069939,0.657837774365232,strong,random,densely
10,1.63111619377355,0.754250031120415,strong,random,densely
10,2.35265896515684,0.16364663808863,strong,random,densely
10,1.70596427382494,0.174120415562425,strong,random,densely
10,4.44165935243022,0.499936841132732,strong,random,densely
10,5.97618302091802,0.903939268200699,strong,random,densely
10,2.14247959312529,0.334015536298076,strong,random,densely
40,3.22136863198732,0.540773134674866,weak,random,densely
